	CityName	Cloudiness	Country	Date	Humidity	Lat	Lng	MaxTemp	WindSpeed
304	Guerrero Negro	0.0	MX	1544377694	62	27.97	-114.04	66.34	1.9
305	General Roca	20.0	AR	1544374800	27	-39.03	-67.58	77	10.29
307	Killybegs	75.0	IE	1544374800	87	54.63	-8.45	48.2	25.28
308	Souillac	90.0	FR	1544374800	76	45.6	-0.6	51.8	12.75
312	Eyl	0.0	SO	1544377697	94	7.98	49.82	78.31	16.22
313	Maceio	40.0	BR	1544374800	52	-9.67	-35.74	87.8	16.11
314	Churapcha	24.0	RU	1544377697	51	62	132.43	-30.69	2.8
315	Padang	32.0	ID	1544377698	100	-0.92	100.36	82.18	1.79
316	Inongo	24.0	CD	1544377698	100	-1.93	18.29	70.7	1.9
317	Port Hedland	80.0	AU	1544376600	66	-20.31	118.58	84.2	8.05
318	Avera	90.0	US	1544376900	87	33.19	-82.53	41	9.17
319	Xining	8.0	CN	1544377700	57	36.62	101.77	15.94	5.7
321	Dudinka	92.0	RU	1544377700	79	69.41	86.18	4.55	16.22
322	Magura	0.0	NG	1544377701	31	12.46	6.59	76.33	8.39
323	Westport	75.0	IE	1544376600	87	53.8	-9.52	42.8	18.34
324	Broome	0.0	GB	1544376000	75	52.47	1.45	45.32	9.17
325	Beloha	12.0	MG	1544377702	86	-25.17	45.06	75.34	4.36
326	East London	0.0	ZA	1544374800	68	-33.02	27.91	66.2	4.7
327	Mount Gambier	0.0	AU	1544374800	93	-37.83	140.78	50	6.93
328	Turukhansk	88.0	RU	1544377703	76	65.8	87.96	5.32	9.06
329	Gushikawa	90.0	JP	1544376960	93	26.35	127.87	66.2	17.22
330	Ngunguru	0.0	NZ	1544377704	100	-35.62	174.5	60.94	17
331	Ongandjera	0.0	NA	1544377705	10	-17.88	15.07	78.62	8.72
332	Dasoguz	0.0	TM	1544374800	63	41.84	59.97	30.2	6.93
333	Mujiayingzi	56.0	CN	1544377705	55	42.12	118.78	-2.02	2.57
334	Tabou	12.0	CI	1544377706	100	4.42	-7.36	82.18	12.97
335	Kalawit	36.0	PH	1544377706	91	7.91	122.53	74.03	3.47
336	Nea Karvali	20.0	GR	1544376000	81	40.96	24.51	46.4	5.82
337	Surt	64.0	LY	1544377707	100	31.21	16.59	63.46	17.45
338	Jidong	0.0	CN	1544377707	46	45.25	131.14	-1.71	4.92
339	Shuangcheng	0.0	CN	1544374800	69	45.37	126.3	-7.61	2.24
340	Brazzaville	20.0	CD	1544374800	58	-4.27	15.27	86	3.36
341	Ouegoa	36.0	NC	1544377708	83	-20.34	164.44	74.53	12.75
342	Dukat	20.0	RS	1544377709	85	42.44	22.31	23.41	2.01
343	Plastun	0.0	RU	1544377709	51	44.76	136.29	0.5	9.51
344	Robinson	1.0	US	1544376900	63	39.01	-87.74	33.08	9.17
345	Sambava	64.0	MG	1544377710	100	-14.27	50.17	80.33	13.42
346	Debre Sina	0.0	ET	1544377710	83	9.85	39.76	48.16	1.9
348	San Rafael	0.0	AR	1544377712	23	-34.61	-68.33	83.71	6.93
349	Kungurtug	0.0	RU	1544377712	49	50.6	97.53	-33.88	3.91
350	San Andres	24.0	PH	1544377713	100	13.32	122.68	81.46	13.76
351	Seybaplaya	40.0	MX	1544374020	74	19.65	-90.67	82.4	7.72
352	Talcahuano	20.0	CL	1544374800	68	-36.72	-73.12	68	6.93
354	Kloulklubed	75.0	PW	1544374200	88	7.04	134.26	78.8	6.93
355	Batticaloa	92.0	LK	1544377715	100	7.71	81.69	77.32	6.38
357	Salalah	20.0	OM	1544374200	65	17.01	54.1	77	4.7
359	Djambala	76.0	CG	1544377716	94	-2.55	14.76	72.55	3.02
360	Sierra Vista	1.0	US	1544376360	55	31.55	-110.3	52.52	10.29
361	Garowe	0.0	SO	1544377717	52	8.41	48.48	74.62	10.96
362	Seymchan	32.0	RU	1544377717	39	62.93	152.39	-26.23	2.68
363	Sulphur Springs	75.0	US	1544376900	68	33.14	-95.6	46.4	11.41
364	Esmeraldas	75.0	BR	1544374800	60	-19.76	-44.31	71.6	10.29
365	Benjamin Hill	0.0	MX	1544377718	59	30.17	-111.1	64.13	7.94
367	Sechelt	90.0	CA	1544374800	93	49.47	-123.76	42.8	14.99
368	Okhotsk	36.0	RU	1544377720	100	59.36	143.24	4.15	7.94
369	Lompoc	1.0	US	1544375700	87	34.64	-120.46	55.04	3.69
370	Mitsamiouli	40.0	KM	1544374800	74	-11.38	43.28	82.4	11.41
371	Niteroi	0.0	BR	1544374800	29	-29.95	-51.16	87.8	4.7
372	Shimoda	20.0	JP	1544377721	100	34.7	138.93	50.72	17.9
373	Payo	68.0	ID	1544377722	93	-3.75	103.64	74.44	0.78
374	Umm Lajj	0.0	SA	1544377722	100	25.02	37.27	65.62	10.07
375	Manggar	8.0	ID	1544377723	100	-2.88	108.27	74.26	1.45
376	Talnakh	92.0	RU	1544377723	74	69.49	88.39	0.23	8.95
377	Rock Springs	1.0	US	1544374440	88	41.59	-109.2	17.96	5.82
378	Kiunga	76.0	PG	1544377724	97	-6.12	141.3	73.36	2.68
379	Port Augusta	75.0	AU	1544376600	82	-32.49	137.76	62.6	11.41
380	Ojinaga	1.0	US	1544375700	71	29.56	-104.41	51.98	3.36
381	Ponnampet	0.0	IN	1544377725	81	12.15	75.93	66.07	1.23
382	Abalak	0.0	NE	1544377725	25	15.46	6.28	70.07	9.73
383	Cockburn Town	12.0	TC	1544377561	99	21.46	-71.14	80.92	23.26
384	Ulladulla	92.0	AU	1544377726	100	-35.36	150.48	66.34	8.28
385	Pleshanovo	88.0	RU	1544374800	96	57.46	28.17	35.6	8.95
386	Campbellton	44.0	CA	1544377727	100	48	-66.68	10.54	5.59
387	Patti	40.0	IT	1544374500	63	38.14	14.96	62.6	10.29
388	Sampang	80.0	ID	1544377728	100	-7.54	109.46	79.7	4.36
389	Dunedin	32.0	NZ	1544377598	90	-45.87	170.5	47.44	7.49
390	Vengerovo	0.0	RU	1544377728	44	55.68	76.74	-5.98	7.83
391	Bhatkal	24.0	IN	1544377729	98	13.97	74.57	84.16	11.74
392	Pochutla	40.0	MX	1544373960	62	15.74	-96.47	86	5.82
393	Matara	20.0	PE	1544374800	48	-13.74	-72.9	62.6	13.87
394	Sibolga	88.0	ID	1544377730	100	1.74	98.78	71.11	1.79
395	San Antonio	0.0	CL	1544374800	56	-33.58	-71.61	80.6	18.34
396	Qaqortoq	0.0	GL	1544377732	95	60.72	-46.03	26.02	9.51
397	Almaznyy	90.0	RU	1544376600	97	48.03	40.04	32	17.9
398	Sorland	75.0	NO	1544376000	100	67.67	12.69	37.4	23.04
400	Lima	0.0	PE	1544374800	57	-12.06	-77.04	77	12.75
401	Oranjemund	0.0	ZA	1544377734	95	-28.55	16.43	63.37	19.35
402	Mezen	88.0	RU	1544377734	76	65.85	44.24	26.65	9.17
403	Junction City	1.0	US	1544374560	68	39.03	-96.83	31.28	6.93
404	Nouadhibou	0.0	MR	1544377735	42	20.93	-17.03	77.72	1.68
405	Xai-Xai	92.0	MZ	1544377735	100	-25.04	33.64	72.64	10.4
406	Haines Junction	80.0	CA	1544377736	75	60.75	-137.51	33.62	7.05
408	Cabo San Lucas	5.0	MX	1544375640	47	22.89	-109.91	75.2	12.75
409	Gallikos	20.0	GR	1544376000	70	40.86	22.88	44.6	3.36
410	Mirabad	0.0	IR	1544377737	63	28.27	61.33	36.77	3.13
413	Ostrovnoy	80.0	RU	1544377738	94	68.05	39.51	26.47	15.77
414	Snina	90.0	SK	1544374800	93	48.99	22.16	39.2	4.47
415	Broken Hill	80.0	AU	1544374800	47	-31.97	141.45	77	20.8
417	Port Macquarie	0.0	AU	1544374800	88	-31.43	152.91	64.4	8.05
418	Taseyevo	68.0	RU	1544377740	76	57.22	94.9	-11.65	2.57
419	Krasnovishersk	68.0	RU	1544377741	88	60.4	57.08	19.67	5.14
420	Henties Bay	0.0	NA	1544377741	90	-22.12	14.28	61.66	9.84
421	Terme	0.0	TR	1544374200	53	41.21	36.97	51.8	6.93
422	Saint-Joseph	0.0	FR	1544374800	62	43.56	6.97	53.6	27.51
423	Arlit	0.0	NE	1544377744	33	18.74	7.39	65.75	4.92
424	Brewster	1.0	US	1544376900	100	41.76	-70.08	33.8	13.87
425	Luanda	75.0	AO	1544374800	74	-8.83	13.24	80.6	8.05
426	Astana	76.0	KZ	1544376600	71	51.13	71.43	6.8	8.95
427	Makakilo City	1.0	US	1544374620	70	21.35	-158.09	73.94	5.82
428	Camocim	44.0	BR	1544377746	100	-2.9	-40.84	78.13	6.04
429	Necochea	80.0	AR	1544377637	61	-38.55	-58.74	77.27	12.64
430	Bada	0.0	NG	1544377747	27	12.41	4.51	78.94	8.39
431	Dullewala	92.0	PK	1544377747	96	31.84	71.44	56.53	3.02
433	Gat	0.0	SN	1544376600	21	14.69	-16.54	89.6	4.7
434	Garissa	44.0	KE	1544377748	97	-0.46	39.64	72.91	7.38
435	Baoning	90.0	CN	1544374800	86	25.34	110.03	39.2	4.47
436	Khorixas	0.0	NA	1544377749	35	-20.37	14.96	70.75	8.28
437	Lazaro Cardenas	5.0	MX	1544373600	70	28.39	-105.62	46.4	4.25
438	Tengelic	0.0	HU	1544373900	93	46.53	18.71	39.2	5.82
439	Kharsia	0.0	IN	1544377750	82	21.99	83.11	56.98	3.02
440	Constantine	0.0	DZ	1544374800	76	36.36	6.61	51.8	4.7
441	Vao	64.0	EE	1544377751	97	59.1	26.19	34.39	10.85
442	Banda Aceh	32.0	ID	1544377751	100	5.56	95.32	73.72	1.9
444	Sabang	92.0	PH	1544377752	100	13.72	123.58	73.85	5.48
445	Svetlogorsk	48.0	RU	1544376600	77	53.14	59.15	5	2.91
446	Coxim	0.0	BR	1544377753	52	-18.5	-54.75	93.79	3.13
447	Dakar	0.0	SN	1544376600	21	14.69	-17.45	89.6	4.7
448	Azuaga	0.0	ES	1544377756	88	38.26	-5.68	47.89	3.69
449	Qeshm	0.0	IR	1544376600	67	26.96	56.27	68	4.7
450	Alofi	0.0	NU	1544374800	69	-19.06	-169.92	75.2	11.41
451	Sitka	0.0	US	1544377758	46	37.17	-99.65	42.94	8.16
452	Quang Ngai	92.0	VN	1544377759	100	15.12	108.8	69.04	2.24
453	Amazar	0.0	RU	1544377760	38	53.86	120.88	-26.37	2.35
454	Klaksvik	36.0	FO	1544376000	80	62.23	-6.59	33.8	13.87
455	Skjervoy	90.0	NO	1544376000	100	70.03	20.97	23	5.82
456	Terney	0.0	RU	1544377761	100	45.05	136.61	10.63	21.36
457	Ponta Delgada	40.0	PT	1544374800	72	37.73	-25.67	66.2	13.87
458	Jimma	56.0	ET	1544377763	100	7.67	36.84	57.65	1.9
459	Chipinge	88.0	ZW	1544377763	99	-20.19	32.62	69.49	3.58
460	Wilmington	1.0	US	1544375700	83	39.75	-75.55	35.06	6.93
461	Kashiwazaki	88.0	JP	1544377764	100	37.37	138.57	34.84	4.92
462	Eirunepe	32.0	BR	1544377764	73	-6.66	-69.87	85.24	3.36
463	Muros	0.0	ES	1544374800	93	42.77	-9.06	55.4	9.17
464	Ellisras	48.0	ZA	1544377765	90	-23.67	27.74	67.51	10.74
465	Nuuk	75.0	GL	1544374200	72	64.17	-51.74	15.8	13.87
466	Barguzin	56.0	RU	1544377766	46	53.62	109.63	-17.68	1.34
467	Rabo de Peixe	40.0	PT	1544374800	72	37.8	-25.58	66.2	13.87
468	Zhezkazgan	68.0	KZ	1544377767	82	47.8	67.71	17.11	5.26
469	Gidam	0.0	IN	1544377768	88	18.98	81.4	62.29	1.9
470	La Puebla del Rio	0.0	ES	1544374800	52	37.27	-6.06	66.2	3.36
471	Kerema	32.0	PG	1544377768	94	-7.96	145.78	72.32	2.46
472	Cidreira	76.0	BR	1544377769	57	-30.17	-50.22	80.02	8.16
474	Arinos	100.0	BR	1544377770	97	-15.92	-46.11	66.83	12.64
475	Vilhena	40.0	BR	1544374800	66	-12.74	-60.15	86	4.7
476	Poum	24.0	MK	1544377770	83	41.28	20.71	27.23	1.9
477	Staryy Nadym	76.0	RU	1544377771	89	65.61	72.68	16.25	7.16
478	Saint-Augustin	0.0	FR	1544374800	81	44.83	-0.61	53.6	11.41
480	Ayacucho	0.0	PE	1544377772	34	-13.16	-74.23	65.57	5.59
482	Kudahuvadhoo	80.0	MV	1544377773	100	2.67	72.89	82.81	10.63
483	Dickson	90.0	US	1544375940	93	36.08	-87.39	35.6	12.75
484	Lucapa	92.0	AO	1544377773	100	-8.42	20.74	67.73	3.69
485	General Pico	20.0	AR	1544377774	27	-35.66	-63.75	86.18	9.28
486	Santa Isabel do Rio Negro	92.0	BR	1544377774	99	-0.41	-65.02	75.25	4.36
487	Phan Thiet	12.0	VN	1544377775	94	10.93	108.1	79.39	13.65
488	Cairns	90.0	AU	1544376600	94	-16.92	145.77	75.2	25.28
489	Vila	0.0	IT	1544376000	65	45.18	8.4	55.4	5.82
491	Ballina	75.0	IE	1544376600	87	54.11	-9.15	46.4	18.34
492	Zapolyarnyy	75.0	RU	1544376000	100	69.43	30.82	24.8	11.41
494	Vostok	36.0	RU	1544377777	65	46.45	135.83	-4.9	5.37
495	Toamasina	40.0	MG	1544374800	83	-18.17	49.38	78.8	2.24
496	Tezu	64.0	IN	1544377778	49	27.93	96.16	52.57	2.01
497	Ranong	8.0	TH	1544377778	100	9.96	98.62	80.38	11.18
498	Tonekabon	75.0	IR	1544374800	87	36.82	50.88	57.2	0.89
499	Kirakira	24.0	SB	1544377779	100	-10.46	161.92	83.03	3.91
500	Cape Canaveral	40.0	US	1544377080	88	28.41	-80.6	73.94	10.29
501	Yumen	0.0	CN	1544377780	63	40.29	97.04	-3.33	6.71
502	Dwarka	0.0	IN	1544376600	71	28.58	77.04	55.4	3.36
503	Yurkivka	75.0	UA	1544376600	100	47.64	35.68	39.2	6.71
504	Oktyabrskiy	90.0	RU	1544376600	92	55.61	37.97	26.6	8.95
505	Tigzirt	8.0	DZ	1544377782	94	36.57	4.2	43.48	1.79
506	Canatlan	5.0	MX	1544373720	50	24.52	-104.78	51.8	2.24
507	Novyy Urgal	36.0	RU	1544377783	57	51.07	132.56	-33.21	2.68
508	Soluno-Dmitriyevskoye	90.0	RU	1544376600	93	44.4	42.73	35.6	15.66
509	Santo Nino	40.0	PH	1544374800	78	15.34	120.63	77	4.7
510	Caravelas	92.0	BR	1544377784	100	-17.73	-39.27	75.7	23.49
511	Mwene-Ditu	76.0	CD	1544377784	91	-7.01	23.45	70.03	5.93
512	Chirawa	0.0	IN	1544377785	69	28.24	75.64	53.56	5.26
513	Batagay	64.0	RU	1544377785	85	67.65	134.64	-39.82	3.02
514	Yulara	0.0	AU	1544374800	41	-25.24	130.99	78.8	8.05
515	Erenhot	20.0	CN	1544377786	61	43.65	111.97	-9.13	3.69
516	Liverpool	75.0	GB	1544376000	81	53.41	-2.98	46.4	8.05
518	Port Keats	0.0	AU	1544377787	93	-14.25	129.55	81.95	4.7
519	Progreso	0.0	UY	1544374800	23	-34.68	-56.22	86	9.17
521	Kuruman	0.0	ZA	1544377788	17	-27.46	23.43	68.32	8.5
522	Mpika	80.0	ZM	1544377788	93	-11.84	31.4	67.15	4.25
523	Krishnagiri	0.0	IN	1544377789	93	12.52	78.22	62.78	3.36
524	Mount Isa	0.0	AU	1544376600	37	-20.73	139.49	86	9.17
525	Shieli	92.0	KZ	1544377789	97	44.18	66.74	32.86	6.93
526	San Cristobal	40.0	EC	1544374800	40	-0.39	-78.55	71.6	5.82
527	Jalu	0.0	LY	1544377790	56	29.03	21.55	60.17	8.05
528	Yen Bai	92.0	VN	1544377791	100	21.7	104.87	53.65	3.58
530	Mumford	20.0	GH	1544377791	81	5.26	-0.76	82.58	10.29
532	Alta Floresta	40.0	BR	1544374800	66	-9.87	-56.08	86	9.17
533	Porto Nacional	92.0	BR	1544377792	100	-10.7	-48.41	77.9	4.92
534	Nyimba	32.0	ZM	1544377793	88	-14.56	30.81	72.01	2.68
535	Camacha	75.0	PT	1544374800	72	33.08	-16.33	66.2	10.29
536	Praya	24.0	ID	1544376600	94	-8.71	116.27	78.8	1.12
538	Aswan	44.0	EG	1544377513	66	24.09	32.9	57.02	8.05
539	Novikovo	56.0	UA	1544377795	100	45.05	34.56	38.57	6.6
540	Magadan	0.0	RU	1544377795	100	59.56	150.8	11.98	17.78
541	Olonets	92.0	RU	1544377795	86	60.98	32.97	27.5	6.71
542	Troitskoye	0.0	RU	1544377796	76	52.98	84.68	2.75	6.15
543	Suhut	92.0	TR	1544377796	92	38.53	30.55	34.93	3.58
544	Rae Bareli	0.0	IN	1544377796	84	26.22	81.25	53.47	2.8
545	Qasigiannguit	75.0	GL	1544374200	60	68.82	-51.19	10.4	8.05
546	Lysa Hora	92.0	UA	1544377797	98	51.6	32.95	33.53	7.72
547	Cabatuan	92.0	PH	1544377797	95	16.95	121.67	71.74	1.68
548	Axim	0.0	GH	1544377798	100	4.87	-2.24	83.3	12.75
549	Paoua	8.0	CF	1544377798	39	7.24	16.43	74.53	8.05
550	Nortelandia	12.0	BR	1544377799	85	-14.45	-56.8	87.13	4.59
551	Merauke	48.0	ID	1544377799	100	-8.49	140.4	78.85	9.28
552	San Policarpo	76.0	PH	1544377799	100	12.18	125.51	77.14	6.49
553	Bima	12.0	ID	1544377800	100	-8.45	118.73	75.52	3.36
554	Kapit	92.0	MY	1544377800	98	2.02	112.94	70.88	2.13
555	Colesberg	44.0	ZA	1544377800	22	-30.72	25.1	71.15	13.31
556	Noumea	40.0	NC	1544376600	73	-22.28	166.46	69.8	1.12
557	Mayor Pablo Lagerenza	36.0	PY	1544377801	52	-19.93	-60.77	94.69	17.22
558	Goroka	92.0	PG	1544377802	99	-6.07	145.39	58.73	2.01
559	Gamba	8.0	CN	1544377802	42	28.28	88.52	-11.7	2.35
560	Rawson	44.0	AR	1544377803	30	-43.3	-65.11	77.18	14.99
561	Zdvinsk	0.0	RU	1544377803	57	54.7	78.67	-11.43	3.69
562	Trebinje	40.0	HR	1544374800	71	42.71	18.35	50	8.05
563	Bowen	90.0	AU	1544374800	94	-20.01	148.25	73.4	12.75
564	Kavieng	92.0	PG	1544377804	100	-2.57	150.8	85.1	3.69
565	Comodoro Rivadavia	75.0	AR	1544374800	27	-45.87	-67.48	77	17.22
566	Jagatsinghapur	0.0	IN	1544376600	77	20.27	86.17	66.2	5.03
567	Phuntsholing	0.0	IN	1544377805	81	26.86	89.38	42.98	2.35
569	Fare	24.0	PF	1544377806	100	-16.7	-151.02	81.64	18.12
570	Maxixe	40.0	MZ	1544374800	88	-23.86	35.35	80.6	4.7
571	Vanimo	64.0	PG	1544377807	100	-2.67	141.3	81.23	12.97
572	Neuquen	20.0	AR	1544374800	27	-38.95	-68.06	77	10.29
573	Kondinskoye	56.0	RU	1544377807	77	59.65	67.41	9.73	4.59
574	Antalaha	44.0	MG	1544377808	86	-14.9	50.28	79.03	8.16
575	Nema	92.0	RU	1544377808	94	57.51	50.5	24.4	5.93
576	Riachao	64.0	BR	1544377809	100	-7.36	-46.62	76.51	5.82
578	Olovyannaya	12.0	RU	1544377809	47	50.94	115.59	-30.33	2.68
579	Minden	90.0	US	1544375700	86	38.95	-119.77	30.92	4.7
582	Dhanera	0.0	IN	1544377811	53	24.51	72.02	62.42	6.04
583	San Quintin	0.0	PH	1544377811	81	17.54	120.52	68.77	4.36
584	Lorengau	48.0	PG	1544377812	98	-2.02	147.27	84.83	8.61
585	Kalmunai	44.0	LK	1544377812	100	7.42	81.82	74.17	5.59
586	Itaituba	40.0	BR	1544374800	66	-4.26	-55.99	87.8	3.36
587	Tilichiki	20.0	RU	1544377813	48	60.47	166.1	-29.88	3.58
588	Zhigansk	64.0	RU	1544377813	60	66.77	123.37	-33.21	7.16
589	Aden	0.0	YE	1544377599	100	12.79	45.03	78.85	9.4
590	Salamiyah	68.0	SY	1544377814	97	35.01	37.05	47.48	2.68
591	Breves	88.0	BR	1544377563	82	-1.68	-50.48	84.02	2.91
592	Arona	0.0	IT	1544376000	65	45.76	8.56	48.2	5.82
593	Pontes e Lacerda	32.0	BR	1544377815	76	-15.23	-59.33	88.93	5.48
594	Shingu	80.0	JP	1544377816	100	33.72	135.99	47.8	12.97
595	Hibbing	1.0	US	1544376780	92	47.43	-92.94	21.92	4.7
596	Dickinson	1.0	US	1544374560	65	46.88	-102.79	26.06	14.99
597	Sedro-Woolley	90.0	US	1544376900	57	48.5	-122.23	51.8	9.17
598	Monywa	76.0	MM	1544377817	91	22.12	95.13	66.07	6.15
599	Husavik	12.0	CA	1544377818	95	50.56	-96.99	4.6	6.6
600	Alice Springs	0.0	AU	1544376600	34	-23.7	133.88	80.6	10.29
601	Gravdal	40.0	NO	1544376000	86	59.79	5.78	41	20.8
602	Margate	40.0	AU	1544376600	87	-43.03	147.26	55.4	6.93
603	Hope	90.0	CA	1544376000	64	49.38	-121.43	37.4	16.11
604	Noshiro	48.0	JP	1544377820	100	40.21	140.05	38.44	29.19
